"División","Nome","Apelidos","Clube","Ptos 1","Ptos 2","Ptos 3","Ptos 4","Ptos 5","Puntuación Total"
"SENIOR","MIGUEL OTERO","DADIN","BOA VILA","539,00","532,00","0,00","0,00","0,00","1071"
"SENIOR","GUILLERMO RODRIGUEZ","GONZALEZ","ARCO FERROL","518,00","536,00","0,00","0,00","0,00","1054"
"SENIOR","ADRIÁN SOBRADO","LOBATO","BOA VILA","510,00","522,00","0,00","0,00","0,00","1032"
"SENIOR","JOSÉ DÍAZ","VÁZQUEZ","BOA VILA","520,00","496,00","0,00","0,00","0,00","1016"
"SENIOR","MARCIAL RODRÍGUEZ","GONZÁLEZ","ARQUEROS DE CAMBRE","482,00","506,00","0,00","0,00","0,00","988"
"SENIOR","ANGELA RINCON","RODRIGUEZ","SEURRI","510,00","470,00","0,00","0,00","0,00","980"
"SENIOR","JAVIER FERNÁNDEZ","FERNÁNDEZ","EIROAS","459,00","509,00","0,00","0,00","0,00","968"
"SENIOR","LAURA MATESANZ","ABELLA","ARCO NARON","461,00","504,00","0,00","0,00","0,00","965"
"SENIOR","PATRICIA RECHE","GONZÁLEZ","SU A AGRA","472,00","478,00","0,00","0,00","0,00","950"
"SENIOR","JOSE VÁZQUEZ","BLANCO","DOUSXSETENTA","457,00","490,00","0,00","0,00","0,00","947"
"SENIOR","ANA Mª FERNANDEZ","COIRA","ARCO FERROL","464,00","461,00","0,00","0,00","0,00","925"
"SENIOR","VICTOR MANUEL SANTOS","VIDAL","DOUSXSETENTA","457,00","398,00","0,00","0,00","0,00","855"
"SENIOR","PAULA CASTRO","TOSAR","ARQUEROS DE CAMBRE","409,00","388,00","0,00","0,00","0,00","797"
"SENIOR","FIDEL GARCIA","LOPEZ","FLECHAS POR UN TUBO","393,00","351,00","0,00","0,00","0,00","744"
"SENIOR","RAFAEL LOJO","SANDINO","BOA VILA","340,00","365,00","0,00","0,00","0,00","705"
"SENIOR","MARIA INMACULADA LÓPEZ","VENEGAS","THE CUTARC TEAM","330,00","374,00","0,00","0,00","0,00","704"
"SENIOR","Mª JOSÉ GONZALEZ","NOVO","ARCO FERROL","408,00","293,00","0,00","0,00","0,00","701"
"SENIOR","JESÚS ANTONIO ALLO","CASTRO","FLECHAS POR UN TUBO","250,00","367,00","0,00","0,00","0,00","617"
"SENIOR","LUIS FANDIÑO","FRAGA","ADARVE","540,00","0,00","0,00","0,00","0,00","540"
"SENIOR","MARCOS RODRÍGUEZ","ALVAR","LUMELAR","535,00","0,00","0,00","0,00","0,00","535"
"SENIOR","JUAN ANDRES CASALEIRO","PIÑA","ESCOLA LUCENSE","0,00","523,00","0,00","0,00","0,00","523"
"SENIOR","ALEJANDRO MANUEL SANCHEZ","LÓPEZ","SEURRI","505,00","0,00","0,00","0,00","0,00","505"
"SENIOR","FRANCISCO REDONDO","NARGANES","SEURRI","504,00","0,00","0,00","0,00","0,00","504"
"SENIOR","DANIEL RODRIGUEZ","CALVETE","ARCO FERROL","485,00","0,00","0,00","0,00","0,00","485"
"SENIOR","ANA ISABEL VILLAR","FERNANDEZ","ESCOLA LUCENSE","0,00","470,00","0,00","0,00","0,00","470"
"SENIOR","PABLO BELAY","FERNÁNDEZ","ADARVE","466,00","0,00","0,00","0,00","0,00","466"
"SENIOR","ELENA PÉREZ","SALAS","ADARVE","457,00","0,00","0,00","0,00","0,00","457"
"SENIOR","ROBERTO LOIS","RODRIGUEZ","ADARVE","451,00","0,00","0,00","0,00","0,00","451"
"SENIOR","PABLO MENDOZA","CAAMAÑO","ADARVE","435,00","0,00","0,00","0,00","0,00","435"
"SENIOR","SERGIO IVAN FERNANDEZ","SOUTO","FLECHAS POR UN TUBO","0,00","415,00","0,00","0,00","0,00","415"
"SENIOR","ALEJANDRA PEREZ","GONZALEZ","THE CUTARC TEAM","0,00","407,00","0,00","0,00","0,00","407"
"SENIOR","MANUEL ENRIQUE RELLAN","OANES","DOUSXSETENTA","0,00","396,00","0,00","0,00","0,00","396"
"SENIOR","CRISTINA BARREIRO","LOPEZ","ARCO NARON","0,00","385,00","0,00","0,00","0,00","385"
"SENIOR","JOSE ANGEL POSE","RODRIGUEZ","DOUSXSETENTA","0,00","346,00","0,00","0,00","0,00","346"
"SENIOR","CELIA SANCHEZ","MATEOS","ESCOLA LUCENSE","0,00","311,00","0,00","0,00","0,00","311"
"SENIOR","IVÁN LOUREIRO","TASENDE","ARCO LARACHA","302,00","0,00","0,00","0,00","0,00","302"
"SENIOR","VANESA BLANCO","VEIRAS","ARQUEROS DE CAMBRE","294,00","0,00","0,00","0,00","0,00","294"
"SENIOR","MARIA CASTELO","ARIAS","ESCOLA LUCENSE","0,00","291,00","0,00","0,00","0,00","291"
"SENIOR","JAVIER LOPEZ","GOMEZ","THE CUTARC TEAM","0,00","258,00","0,00","0,00","0,00","258"
"SENIOR","PATRICIA DIAZ","CASTRO","BOA VILA","0,00","182,00","0,00","0,00","0,00","182"
"SENIOR","DIEGO OTERO","ROMERA","ADARVE","0,00","0,00","0,00","0,00","0,00","0"
